PDB,SP_PRIMARY,CHAIN
3GOZ,Q5ZSW6,A
3KL9,Q8DNJ7,D
3QKU,P58301,B
7WQ3,P63096,A
3ZS9,Q12154,B
2WYM,P39300,B
3W1E,D9N551,A
3TD9,Q9X0L9,A
3A9H,Q8ZUN8,A
1ND6,P15309,C
7X0P,A3DI69,A
7QPO,Q96EM0,A
8UII,P35250,B
4JD3,P9WPF3,A
3E82,A6T882,E
2FEN,Q2HNZ1,K
3HNP,Q81AZ1,D
2EWE,P11073,A
6WQP,D4LAX7,B
5F1C,G3MM57,A
4I9G,O33194,B
1ORH,Q63009,A
6K9Y,Q99536,A
3Q6D,A0A6L7GZS1,D
7T6B,O95136,R
2V6C,P50580,A
1OXT,Q97UY8,D
3RKP,Q81D71,B
3J4Q,Q6JP77,A
4DZS,P25339,B
8F8F,O53507,A
2ADA,P03958,A
3PMO,Q9HXY6,A
7UX4,B0KBL1,A
3JBR,Q8VGC3,B
8RDM,A0A8T8HXW2,A
2VN8,Q8WWV3,A
7E1G,A0A0H3XJK5,A
2ZSJ,O66740,B
3W08,Q7WSJ4,A
6KS5,Q5ZV21,A
3PPU,B3VQJ7,A
4R2N,P9WML5,D
1FP2,O24529,A
4GNR,J9PBT7,A
1E3J,O96496,A
8YL9,A0A2Z6AQX7,A
6SDM,P14941,B
1FMJ,Q26490,A
3OVV,P17612,A
8SM7,D3EI84,A
6J5T,Q9SVY5,E
4PDY,C8WS74,A
2Q4H,Q9FK51,A
1W5F,O08398,A
1GS0,O88554,A
6ISS,P06181,A
4INF,Q2GA79,C
8Y4U,Q6ES21,A
3TXO,P24723,A
5XNC,Q5JIZ3,C
7KHR,P61420,d
2ERZ,P05132,E
7AIL,O67475,A
1GQG,Q7SIC2,D
7JSN,P04695,F
2DEI,O58107,A
4PO1,P9WHJ3,A
7C4X,A0A8I3AZU6,A
1FCU,Q08169,A
3TEH,P27001,A
5CKS,P0AB91,D
8QN8,A0QSL8,B
6WLW,O75787,V
2HU2,Q6AZ26,A
3GA0,Q9Z2F5,A
2VVG,A8BKD1,B
1PYS,Q5SGX2,A
7CZX,Q6GMX6,J
6OTV,P0AAV8,B
2X31,P26239,L
1CMK,P36887,E
3GFB,Q5JI69,D
8XWO,L0RVU0,E
3K3P,P95803,A
2QM3,Q8U1U4,A
7OFL,A0A5M3MXY8,B
6BK5,F2UL73,A
6ET9,A0A384E143,K
2P1I,Q7RIF3,D
1CEG,P15555,A
7F6D,Q9RW33,H
1A2O,P04042,B
3ABI,O59312,B
8TZP,O00755,A
1WPQ,P21695,B
5C1T,Q5NT25,A
2X4F,Q86YV6,B
5D6O,Q8NS43,C
3P3P,Q9NWT6,A
3HDO,Q39YP6,B
1EZW,Q8TXY4,A
4AEO,Q88PD0,B
1Z2I,Q7CRW4,A
7XFZ,A0AAB0B1V3,C
1GUQ,P09148,B
4L80,S5N020,A
8E9X,P08173,A
2W2K,Q7LLW9,A
1DYS,Q7SIG5,A
3M2T,Q7NY68,B
3GWZ,Q9X5T6,D
6BXZ,F1SD06,C
2Y1W,Q86X55,B
5DYS,P02699,A
3CPW,P15825,G
5ICF,Q5C9L7,A
1E5N,P14768,B
4EDP,A0A0H2YTW6,B
1EK6,Q14376,B
5F8C,O53532,B
1OHE,O60729,A
5FZP,P84908,B
1S7T,P01901,A
3G3E,P14920,A
3HUT,Q2RQC5,A
1BWD,P08078,A
3MJM,B1IV40,A
7Z2C,Q8I235,K
4P7A,P40692,A
1DDO,P00371,G
1K0R,P9WIV3,B
7N3T,P04629,B
4IG8,P00973,A
1G71,Q9P9H1,B
3U0O,P16456,B
3R5F,Q5H614,A
6EFW,J9VIT7,A
4A2C,P0A9S3,A
7KN1,B2FNY6,A
3NB3,P0A910,A
6IJ1,A0A1B1ESM0,A
4O1L,P55263,A
1E5W,P26038,A
5NQF,A0A024UZE1,A
3JS6,O87364,A
2BTU,Q81ZH0,B
2VP1,Q55835,A
8S7G,P08280,J
6RZO,A0A5S8WFA2,B
4Q2H,B9J8G8,A
1BUG,Q9ZP19,A
1CLI,P08178,C
7BYF,Q8C570,D
2Q83,O34656,A
6IUQ,A0A4P1LYH8,B
2Y42,Q5SIY4,B
2GVQ,P50384,D
5VOZ,P32366,Q
8VWT,O15527,K
7XWO,P21452,B
2J3H,Q39172,A
3DEQ,Q9WXM1,D
1NVM,P51016,A
1H2B,Q9Y9P9,B
7OYX,P31133,A
5JHO,Q2Y0W8,B
7M0E,Q9UGP5,C
5TWB,Q2FEC4,A
7VOC,A0A1B1AYF2,C
7PP7,Q41510,A
1HLE,P05619,A
1HH2,Q9X298,P
3ZFD,P33174,A
4QVG,C0LTM6,D
8BBI,F7YXD6,B
6A4J,Q2FVP8,B
5HC4,H6BDX1,D
3JVU,P24559,B
3GG9,Q8Y3G4,C
7JG2,P01878,D
6N7E,Q9H8M5,D
3MEQ,A0A0H3G9R2,D
4Q6U,I6YCP0,B
6RZO,A0A5S8WFA1,A
4NPH,P74857,A
2E3B,P28313,A
1LW4,Q9X266,C
7F6V,Q9BXJ8,B
1LY9,P28314,A
7N4T,P0AEB5,D
3MMT,Q8L207,C
6P3Q,O15484,A
3CDX,Q3HKK3,B
1G55,O14717,A
8D3L,Q9KFX9,B
4DS8,Q9CAJ0,B
8H2C,Q0P8U0,A
1CEC,P0C2S3,A
3FJ1,Q5LSC5,C
4PY9,Q64PD9,A
1FO8,P27115,A
2PJD,P39406,A
2A3N,Q8ZJX7,A
1E4E,P25051,B
4D65,E3U905,E
1NTD,P38501,A
4KQW,D0WGK0,B
1Q1Q,O00204,A
5VGM,Q9KL24,B
2BFF,P21953,B
5DOQ,A4IKP7,B
6C49,A0A1E3MC83,A
8JSF,A0AAT8XUA8,B
7EQL,Q6WAU0,A
6DFT,Q4GZD1,L
1CJA,P80197,A
8XYD,P25105,A
2P0A,O14994,B
2BCO,Q87Q40,B
7BUX,Q94IE8,B
3WU2,D0VWR8,D
8CD8,Q8TL28,A
5WNI,Q9ERK0,A
1BQ5,O68601,A
5GOV,A0A0R6L508,B
1H7P,P05373,A
3PVK,P0CS83,A
6FGB,P55899,A
7F6E,Q53VZ2,B
5HFT,A6T9C8,C
5G02,A1L1Q4,A
3NF2,Q9X7V8,A
3UAQ,H9KVH9,A
7RH5,A0R057,Q
7QPD,P04439,M
1J0D,Q7M523,B
3TTM,Q9I6J1,A
3MEN,Q3JUN4,A
6C5B,A0A172J1V3,B
4O89,O59198,B
7V9L,Q9HB45,R
3AWF,Q4W8A1,A
2UXY,P11436,A
3GS9,Q8Y4Z4,A
5BY7,F4F7F9,C
4ZMU,Q9I072,D
3GNI,Q9Y376,A
6WXR,Q8VE49,B
5GQ0,Q8RY71,A
1OMW,P62871,B
3WSA,P37268,C
6BS5,P9WKX5,A
8JKB,P62873,B
4H67,P43534,E
9ESH,O94620,C
4REG,Q8U333,A
8UPQ,Q9PHN5,A
3S1L,Q46UZ9,A
4UY0,Q12840,C
3CZB,Q9A226,B
1B43,O93634,A
3UOG,Q92MZ8,A
2ORY,Q5DRN8,B
1WET,P0ACP7,A
7V02,Q5HK93,E
1TV8,P65388,A
6LI3,Q9Y2T5,R
4LQ8,B0BXR4,B
1B7G,P39460,O
8YKX,P54311,B
6F89,Q9UYB2,B
6RMV,P62874,A
3NWN,Q9HAQ2,A
2FVG,Q9X0D9,A
3HFQ,F9UQE3,A
2DYB,Q15080,A
2X5J,P0A9B6,O
1MN0,Q9ZB17,A
2WPW,Q8KRB5,A
5Q0C,O00757,A
7LWH,P35240,A
1IB4,O74213,B
8UHB,Q96RJ0,A
8PBD,Q06609,J
3ELB,Q99447,A
7NVR,P20226,O
4HZS,Q07912,C
6UI3,D9SV64,A
4KVF,D2PT67,A
4NN3,C6BW16,A
4MX6,Q8ECK4,A
6VTF,D2W2Z5,C
7YHE,A6YEH4,A
7XTE,A0A5E5PAL9,A
2IF4,Q9LDC0,A
4KXP,P00636,A
4P74,Q9I0A3,C
6GYM,Q12004,4
7OB9,Q3B726,G
1KVQ,P09147,A
2OTJ,P20279,B
4OTH,Q16512,A
3IJL,Q8A861,A
3GVE,O34313,A
1X19,Q8KGE0,A
4TVY,P32099,B
3R4I,Q13S43,D
6K3L,J9VNH4,B
2JJK,P09467,A
2P2D,P0A962,C
3WGC,O07051,D
5LTE,A4XXY9,A
4W8X,Q8U1S5,A
3V0S,Q3L181,A
2B4R,Q8T6B1,O
4PMD,B9MMA5,A
1CF2,P10618,R
4NOI,Q9PM80,B
6H6H,Q31167,D
4PGA,P10182,A
3KRZ,B0KAH1,A
8G66,P48729,C
1F05,P37837,B
7FF4,B8I1W6,B
4M6Y,Q643C8,B
6BBP,O08967,A
1B4K,Q59643,B
1ST0,Q96C86,B
1BK4,P00637,A
7FEX,A0A5G2RKN9,A
6WKH,Q55012,A
9EVN,P50490,A
7Z6A,Q9EY50,A
7T6H,P0A7E1,B
7LT3,Q13426,G
4GKV,P39451,B
5KLA,P25822,A
6M53,N1S495,C
1XFK,Q9KSQ2,A
5O7H,A4Y6G2,F
6FZH,P68777,B
3CXB,Q56061,A
1TXG,O29390,B
3UXP,P06766,A
6S7T,Q9H0U3,H
8ZGT,P01855,E
8OSW,Q2KB35,B
8ICE,P06746,A
8CR5,P43432,A
2F8J,Q9X0D0,B
7AB3,B7UL96,F
3M1M,Q54324,A
1GXR,Q04724,B
6O6Q,A0A1D8PUA2,A
6IOW,B2RK03,A
6M6Q,Q93413,A
1ORT,P08308,D
8GQD,Q2G0P6,A
3DOC,Q2YRE0,D
6FYV,Q9HAZ1,A
2G4O,P9WKK9,D
5XZO,D0QF43,B
3KTN,Q837J7,A
8I6Q,A0A072ZG76,A
6TB2,Q2FXJ2,E
9HE9,A0A4V1Q376,B
1GD1,P00362,R
4B7X,Q9I377,D
4PLC,A0A075B5G8,D
4D10,Q92905,E
4NTC,E9RAH5,A
7BXU,Q86WC4,C
7BED,P61964,A
7SZF,C3RVP5,C
5KZ6,A0A6L7H1P2,B
4NHB,B8J100,A
5GMO,A3LWG4,A
7R6S,B2FJG3,A
1FOB,P48842,A
4L15,O16299,A
3I5A,Q886S7,A
6DGI,Q9KM17,A
8Z1W,P37313,D
2G17,Q8ZKL8,A
5VMT,B4RPP8,A
6DAQ,Q6H2K0,B
7SZH,C3RVQ0,C
8IEV,Q0PAW2,B
3RO8,C6CRV0,E
7WUD,A0A8M0FGQ9,A
3ASJ,Q5SIJ1,A
6PZ7,Q97KU0,A
8GX2,P07711,A
3TVX,P27815,A
6AQZ,A0A2D0TCK0,D
5E7O,G8QM54,D
2VYV,Q9ESV6,D
4GPD,P00357,1
2YQ5,Q1GAA2,B
3EZY,Q9WYP5,B
1DSS,P56649,G
4UUM,O96445,B
2A1T,P13804,R
1AKM,P04391,A
2GN8,O25511,A
4KOA,Q92KZ3,A
4R1S,A0A059TC02,A
3EUW,Q8NL86,A
4ICM,G2IN12,H
3MK4,P56589,A
1DXY,P17584,A
4AVB,O05581,B
1VDC,Q39243,A
8B9M,A4ID39,B
1YW4,Q7NU26,A
6BXI,Q15208,B
5JT8,A1KXI0,B
7E1E,Q98TC9,C
3GAZ,Q2G4L9,A
7K74,B2FU10,A
6BH7,A0A060GYS7,A
7U5M,P10096,C
7PAX,Q86SQ9,A
3K96,Q83BJ0,A
1J91,P28523,A
5FGU,Q675N6,A
5G3O,P59701,F
6D21,E7FE33,A
3KTC,Q6D5T7,A
2P51,O74856,A
7OCI,Q03723,C
7BEW,Q0P8L1,A
2FGR,P24305,A
1V6A,Q9W7K5,A
8J6E,A0A451EJQ8,A
7NH9,Q9ZIH2,D
8WC7,Q923Y8,R
9AST,P46094,R
1HDG,P17721,O
6PNL,O26475,A
3I53,Q84HC8,A
4V36,Q65MA9,A
8WXK,Q8YN57,C
1HJS,P83692,A
7P4G,P13491,N
1A06,Q63450,A
7QA0,Q9I4X0,A
2AQW,Q7RPE4,A
2QVR,P0A993,A
5G2M,Q9HZK0,A
1HJQ,P83691,A
7L9R,C4LXB8,A
6O60,P53611,B
8QWT,A0AAT8XUE2,A
2BOQ,O94753,A
4BLZ,Q9UR19,A
5ZA0,P0A9B2,A
5Y52,Q45697,C
2QCV,Q9KAG8,A
7OO5,A0A8X6EH08,A
6K38,Q55650,A
1LTX,Q08603,B
9MTY,A0A370LRB3,A
6DAO,Q51947,A
4P8R,Q38AR9,A
1AGX,P10172,A
2G82,P00361,P
3NXK,Q0PC96,B
8P7P,P05326,A
1FJM,P62139,B
3PND,P41780,C
1NLZ,Q7BK04,E
4IR8,B9PW60,A
5XMK,Q06263,G
3W0K,D9J0D7,A
6GRO,Q9Y6M4,A
8OE4,Q5VWK5,C
7YJW,K8Y546,A
5HMS,P13716,A
1T0Q,O87802,B
5OR7,Q6SJQ7,C
1A5Y,P18031,A
11AS,P00963,B
2X3E,Q9HYR2,A
4NFM,Q5TCY1,A
1RHC,O93734,A
6CT6,U6M598,A
4HKT,O68965,A
3UBT,P20589,A
3E3X,Q9L5X8,A
3VVA,Q26710,C
3IV3,Q8DWE5,A
9GUW,P0A7Z4,2
4H3W,A6LBC8,A
8R2W,A0A1M2VMW7,A
8FF4,A0A235IFP5,P
5YBW,Q2L695,B
6E66,B7UI21,A
7D1H,B7QK46,A
1FMX,P07267,B
1V0D,O54788,A
6CER,P11177,H
4APW,Q89A01,H
1AVF,P20142,A
5XHU,O31475,A
8DQ3,A0A142G3G1,A
1B8V,Q9ZF99,A
5FTU,Q8BLU0,J
4GRW,P29460,B
1G6Q,P38074,1
3TAC,O75334,B
5OT0,Q5JIW4,A
4WLR,Q9WUP7,A
6Q4W,E9AND7,B
1HZH,P01857,H
8R83,O43866,N
8FAZ,O75771,D
1I6K,P00953,A
9BOU,Q9L2K8,A
7ZTN,G2QL32,A
5LF8,P0C025,A
3LPZ,G0S7T3,A
7ZS9,P36145,X
1ZYL,P0C0K3,A
7A7B,A0A0H2WWS2,H
8K74,A0A2A5MQ98,A
6DTP,P14061,A
7D2F,Q5ZWG6,A
5BRA,A6X2U7,A
1W45,P13928,B
1ZCF,Q6Q4F4,D
7SVJ,A0A0R1U3N2,B
2FAU,O75436,A
8DY7,F2RGQ4,I
7ZS8,A0A1D3HIT0,B
1GXO,Q9F7L3,A
1GVE,P38918,B
4PBH,Q5LSJ5,A
6ULO,Q72TN2,B
10MH,P05102,A
1Y7T,P10584,B
5F2M,P63705,D
3SI2,Q9CYK2,A
6TVH,A7RS11,B
3PCO,P08312,A
3IP3,Q9WYQ6,A
9EVD,H8PGG3,M
8GA8,P40505,H
5TDS,Q00460,B
2HLN,Q7WWK9,K
5CFA,Q14U76,B
7YR5,Q6PCB8,B
6PAE,P06608,D
3H4J,O74536,B
8WVR,E4N6B3,D
5JJU,A5U6I9,B
2F9C,A0A0H2WQ05,B
1FLH,P0DJD7,A
5WNO,P24348,A
1GPL,P81139,A
7A76,Q81FS4,C
3F4D,D0VX06,B
1A76,Q58839,A
4PLH,A0A075B5H2,D
6XSD,P02749,A
3PSH,P44206,A
1BI7,Q00534,A
5D84,A6QDA0,A
1ZMU,O08679,B
2V2T,P25799,B
6V2G,P00805,D
5OA1,P46669,G
1IGT,P01863,D
1KIC,Q9GPQ4,A
6BM7,A5HNV6,E
5Y5S,A8ASG6,M
6FO6,P00125,D
5ZXA,P9WIR7,A
3MWX,P39840,A
6XJJ,B8M9K5,A
3AKJ,Q9ZKJ5,B
3CV7,P50578,A
3NXS,A0QX37,A
3DUF,P21874,B
5Y7P,J7H3P9,H
3N3D,Q03Q08,B
1DRT,Q05581,A
1AM5,P56272,A
4UCV,P43813,A
3N28,Q9KPM2,A
6ALL,Q81L65,B
5IG9,B2G3D0,E
4MLG,I7EUE2,D
1LUC,P07739,B
2NQA,A6NHC0,B
4RI0,P83110,C
6CAF,P49347,A
4JNQ,Q8YID2,A
2Z6I,Q9FBC5,B
9GEK,Q969Z0,A
8QAK,A0A075LPR4,B
4WY5,V5J5W4,B
8EFY,Q5SL87,F
9F14,P45600,B
3CV0,Q57W55,A
2XLQ,Q8GHB2,A
5MHB,P0ACB2,A
2WJN,P06010,M
8XKS,A0A2K3E633,N
4NQ8,A0A0H3LPK2,B
5GUJ,P05096,A
7CI1,A0A7M4DUH0,A
3F8D,Q8X236,A
1Q13,P80508,A
4FAI,Q86PD7,B
1DC1,P70985,B
2WED,P00798,A
1HQH,P07824,C
7E5N,P09758,C
8IVD,Q9NPY3,B
2HDJ,P52895,A
4Q38,Q70AY4,A
6OVQ,Q194Q1,A
4XFE,I3UZ52,A
1DDE,P0ABS5,A
8K9Y,Q9C9D0,A
1AII,P12429,A
6NDL,Q2G258,A
4AUC,P00794,A
2GNX,Q6P1I3,A
3VRN,Q9ULV8,A
4Y9T,B9K0Q5,A
1TD9,P39646,B
5O0Q,Q99PI8,B
1EB7,P14532,A
8JP2,Q04828,A
3FDK,Q9RVU2,A
2FVL,P17516,A
1BOO,P11409,A
1W4Y,P00433,A
6N3H,Q9Y6Y0,B
2WAM,O07213,A
1AFS,P23457,A
2B21,O73948,A
5JNQ,R0BTE9,A
5OL0,A0A6L0XH39,B
8ZQ9,A0A3B9V9Z8,B
1D0L,P41052,A
1MIR,P00787,B
4BMT,Q81G55,A
8YKU,Q9HWX7,A
1F1V,Q44048,B
1BSV,P32055,A
7POE,Q8CHP8,A
3OWQ,Q92CZ6,D
6CFW,I6UQM0,M
3TE5,P12904,C
2NXF,Q7T291,A
1F07,Q50744,C
1IXG,P0AG82,A
1F3L,O70467,A
1BIA,P06709,A
1A87,P08083,A
1FVO,P00480,B
5W36,P9WNW1,B
3IL6,Q820T1,A
1U4Q,P07751,B
1ALA,P17153,A
3HGK,Q40234,C
2PIA,P33164,A
4QQN,O60678,A
2DFD,P40926,D
1GDH,P36234,A
1EDZ,Q02046,A
4QIK,Q5TC82,B
1BOB,Q12341,A
5KF1,Q97ML2,A
6G49,Q9HZX3,A
8FI3,A0A0W7ZMT5,B
1SAV,P08758,A
4DZ4,Q2T3W4,F
1TRB,P0A9P4,A
2OFJ,P29208,C
1SI1,Q9Z4N6,A
1IGY,P01869,D
9D91,A0A0H2ZNF4,A
8J2N,P9WGD1,B
4CMD,C7YVL8,B
7ZJ2,P09651,E
1FB5,P84010,A
7VAE,Q2KJ85,A
1YS1,P22088,X
3HJ6,B8CZ52,A
1WMK,Q9UIK4,B
2DAP,P04964,A
6M3P,Q62261,B
3USV,P00784,A
1GQ8,P83218,A
5JFQ,A0A0A7GEY4,A
3GJA,D0VX22,A
4XA8,A7IIH0,A
1A5Z,P16115,A
7Y6M,A0A7H0M7J5,D
4JX0,Q5L9W9,B
1IRA,P14778,Y
3NIO,Q9I3S3,F
1BC0,P14668,A
5HGR,Q8YSD9,A
5JGW,E9JVD4,A
1GZ6,P97852,A
4R74,A3N294,B
3EDV,Q01082,A
1NW5,P14751,A
1TYY,Q8ZKR2,B
4ZGQ,Q9P7N5,A
8B6J,Q24IM5,D
1CVL,P0DUB9,A
1GYH,P95470,C
3TQC,Q83EV9,B
6K9Z,Q8ZXN7,B
3U8U,P27695,A
8YI9,P11908,E
1ANN,P13214,A
5VSM,Q8CBB9,B
5OPT,Q4DTN2,p
4IXN,P24203,A
1EZ4,P56511,A
4X36,P06653,A
2G7M,Q64Z33,Z
1B04,O87703,B
8GLW,P13991,X
3NH5,Q91XE4,A
4ZPM,Q91Y09,A
4M1Q,D6XW60,A
8AZA,O43353,A
1NPC,P05806,A
5CAG,A7LXW1,A
1DL5,Q56308,B
5CPC,P40722,A
1CKJ,Q06486,B
4FK9,G2NHM6,A
1QWK,P91020,A
3AOF,Q9X273,B
2Z32,Q9Z2X8,A
3RG0,P14211,A
1IAW,P50187,B
7YC4,A0AA82WP15,C
1IBS,P14193,A
1H2A,P21853,S
7CSG,Q9SVP6,A
8BIC,Q7MY07,A
1FOT,P06244,A
8CM8,O00214,A
4Z8D,P0A6R0,A
6XYZ,A5FB54,A
1XG2,P14280,A
1LDB,P00344,A
8BIF,Q7MY06,C
7ML9,A0A249JQG5,A
7MON,Q9Y572,B
3ZH2,Q76NM3,C
6G7P,Q10Z45,A
2Q4C,Q9SYT0,A
3PBH,P07858,A
7ZS2,Q1PZE6,A
5OU0,P15121,A
3FSX,P9WP21,B
4OB6,L7PYQ2,A
1LDG,Q27743,A
1GSA,P04425,A
7C35,P45040,A
6HFT,P33313,A
1BP0,P00469,A
6BDN,Q9H2K8,A
4HPG,A2TM14,B
8ANE,B8GLG3,C
8IH7,Q9KWS1,D
7BBV,G2X3Y1,A
5CB0,P0AAC0,A
5LIW,O60218,X
1ESM,P0A6I3,A
7EDX,Q00403,R
4YCO,P33371,B
1CD1,P11609,A
3CUG,P07986,A
3EQL,Q9Z9H6,B
7XMC,P0ABJ1,B
1AEI,P26256,E
1PVV,Q51742,A
8ZAM,Q8RUT8,A
6BCH,C7SWF3,L
4NS4,Q1QEU6,A
1WCH,Q12923,A
6TU2,Q5XI77,A
7B55,P11798,B
1FRB,P45377,A
4R2J,Q8ZP84,A
1C9W,O08782,A
2C0Y,P25774,A
1AH0,P80276,A
8IXH,Q9I2Y5,A
3GOH,Q8EED0,A
3R97,Q5H4I7,A
1YNN,Q9KWU8,A
3O4P,Q7SIG4,A
3EXA,Q9KAC3,D
4EUO,A9CGA5,A
1FRQ,P00455,A
1BY8,P43235,A
5EXD,Q2RI42,L
3TQQ,Q83AA8,A
3U6F,Q91XB0,A
1E19,P95474,A
1AIN,P04083,A
1FMT,P23882,A
3PMS,Q9XBM8,A
8GU3,Q09357,A
3RQS,Q16836,B
5ZNH,A0A4V8GZK8,A
3E2T,P70080,A
1EZR,P83851,A
4P98,D3F9N7,A
1DK5,Q42657,A
3W5U,Q9SLP6,G
1US4,P83817,A
2F9I,Q2FG38,A
4NAO,G8GV69,A
7BR3,P30968,A
4XOH,P78953,A
5M5J,E2RU27,A
7BMH,Q9HGT7,A
3VGK,B1VZT1,A
1V0K,P26514,A
1GQ6,P0DJQ3,A
6OKO,Q9QZL0,A
6Q75,A0A6I8WFT5,A
8BW9,Q24171,D
4ZXF,P28321,A
2EW2,Q831Q5,A
4LEE,Q59L12,A
7VVA,P30235,C
6R8G,Q6VVP7,A
2EKL,Q972A9,A
6MUJ,Q9F3C7,B
1YPN,P06983,A
1AZW,P52279,A
3E0M,P0A3Q9,D
1ENP,P80030,A
3KSK,P23657,B
4MX8,D1BRG9,C
8YJZ,Q5TBB1,G
6KA0,P61889,D
4R3Z,Q12904,A
2R7B,O15530,A
1T6D,O67040,A
3VSG,Q6J1Z6,B
7T4D,A0A915Q9K2,B
6JOD,P50052,A
8Q7N,Q8NAV1,I
3KCP,Q06851,A
3D5V,Q6DRK7,A
3AVQ,P9WPA7,A
1NVM,Q52060,F
4FL4,Q46453,L
1DLM,P07773,B
1GA8,Q93EK7,A
7SF6,Q24WN9,A
4JCI,Q1QU06,A
1EKX,P0A786,C
1UNB,P18548,A
8K1P,O86311,C
2DOR,A2RJT9,A
7CRB,M4B6G6,J
1EP1,P54322,A
8T1L,Q9DB40,V
1AUV,P17599,B
2Y25,P52179,D
7BSX,S4TKM8,H
3ASM,Q6L6Q4,A
3PZ6,A8BY54,E
2D10,P26043,D
2HAD,P22643,A
3E02,Q13I95,A
4LUN,P38798,U
1EQ2,P67910,J
3NBQ,Q16831,A
1AK1,P32396,A
1EA7,Q9S3L6,A
3AFI,P59337,F
6P8V,D7Y2H4,B
8FXU,D9TSJ1,A
7D62,Q9KLZ6,B
6QSS,A0A0U3FQH7,D
1B7B,P0A2X8,C
2HM7,Q7SIG1,A
7W1W,A0A5J6VLZ7,B
2DYT,P40344,A
1GV0,P80039,B
7FHU,B2FHL8,A
8ISS,Q9BSV6,C
5UD6,M1V4H9,D
8WKA,W0TDP7,C
1GV1,P0C890,D
2CMW,Q9HCP0,A
3HTV,P32718,A
1UXI,P80040,A
2EWJ,P16525,A
3ODB,P35755,A
3KYH,O13297,B
1R9Q,P0AFM2,A
2HPH,P0AEE5,A
2PK3,Q6T1X6,B
8SYI,Q31L30,B
3K6K,Q0GMU1,D
1GCA,P23905,A
8E7S,P07143,l
1ELM,P00730,P
1BGP,Q40069,A
1PQV,P07273,S
1EUC,O19069,A
1GQT,P0A9J6,A
3HPY,Q7WYF5,A
1D9Y,Q50964,A
8OMM,A0A3T2BSC5,A
8CLP,A0A6N9UBA7,C
7MXY,O77389,A
1I74,O68579,B
7CBE,P07623,A
7S5F,A0A1U9WT24,D
2H1Y,Q56S05,B
1I1M,P0AB80,C
4ASC,Q2TBA0,A
1H6U,Q9ZEY1,A
3TM8,Q6MM30,A
3CL6,Q3KFK7,A
2A1X,O14832,A
1MKX,P00735,K
8H8J,Q9HC97,C
4EW6,Q2KA75,A
7X99,A0A9J4RF62,A
3PWQ,P76077,C
1IQC,P55929,B
4W9X,Q9NSY1,A
3IWR,Q7DNA1,B
7PN0,Q5SHU3,B
1UYO,E6MVD9,X
2Y04,P07700,A
7ULH,A0A0H2ZRP4,A
6UMK,P0A9A6,A
6LGV,A0A380PV03,A
8C83,P38747,x
7YG2,A0A0A7MCY3,M
6DTK,P00441,E
1RTS,P45352,B
2FK6,P54548,A
6B5C,Q9BW62,A
1EFP,P38974,C
5BY6,Q9NDD3,D
7YMQ,A0A0U4VTN7,F
7FHF,Q4R2T2,A
2I6U,P9WIT9,A
5XSZ,Q08BG4,A
3TC1,O25023,B
6H9S,A9BGZ9,B
3M4U,Q38AT7,A
3IM8,Q8DR16,A
1AQ0,P12257,B
7LOX,P60651,C
1GHS,P15737,B
8WEJ,P19878,D
1IOV,P07862,A
3BWW,Q0I408,A
1ESD,P22266,A
6ECP,P11586,B
8IQT,P11473,A
1HSK,P61431,A
8S1J,A0AAX7FLU5,B
2HEL,Q03137,A
7ABP,P02924,A
2ABQ,Q9KEM5,A
7VPU,C5DKV6,A
2GB7,O87963,C
5DD7,A0A0D5YC82,B
8HPS,A0R2C2,A
1VHN,Q9WXV1,A
1QI2,O85465,A
6XFQ,P07359,G
1A48,P27616,A
4ZN0,Q8PUI1,C
7VVX,A0A0T5PCK9,A
3E96,Q5WDL1,B
1RLV,O29362,B
7L7G,Q14232,H
1H1N,Q8TG26,B
2CUY,Q5SL77,B
7ZGD,P24280,A
3GDI,O54943,B
8HPC,P60327,H
1FHF,O22443,C
2V6B,P50933,D
7CQ3,P38324,A
1WOI,Q9RZ04,D
6ZYV,A0A077TLQ4,B
3IJD,A3DHS7,B
5E55,Q9JMB8,B
8SNH,Q9I3G2,G
4JCO,Q07841,D
1QUF,P21890,A
8DB6,A2EYV3,C
2J4Z,O14965,B
2GGK,Q44185,D
3R23,Q81Q29,B
7P99,Q5W0Q7,A
5OCE,A0QWG5,A
2H8O,Q7CWE5,A
2B9E,Q96P11,A
4H6V,Q52QI9,A
4BGU,Q9P9L2,D
7OG3,A0A5P2XKZ4,B
7YSE,P00960,A
4P3L,Q1QUN2,A
7VLX,A0A1E8EBU8,Z
3R5K,P55210,B
3NFT,Q63K37,A
7XNO,Q38YH5,Z
6C9C,Q02H34,A
8USE,P23360,B
8C29,A9NKM0,s
8X35,C1K5M2,B
6JYX,A0A0H2UNH0,A
4M0J,Q2T1L0,B
6U3W,P53622,A
5GJ9,Q41931,A
4OVP,A3T0D1,B
7QCD,Q05541,E
1Y1G,Q8NBK3,X
3V5S,Q57556,A
7EQ1,Q8IZF4,R
5ESR,Q9A919,A
7X0B,A8WEZ7,A
1IYZ,Q8L3C8,A
4EE7,E5KWG9,B
1YFO,P18052,A
3OCJ,Q7WBE0,A
4JM3,Q643B8,A
3PZL,Q97BB8,A
4OVQ,Q160Z9,A
7ELF,Q6CN52,C
3IJ6,Q5FK79,A
2YZB,D0VWQ1,A
8WFX,A0AAX7FLZ7,M
7D5J,A0A0H3KN52,B
